Algoritmo; Tipo; Tamanho; Tempo (ns); Tempo (s); Memoria (KB); Comparacoes; Trocas de Posicao
CountingSort; random; 10000; 66330; 0,000066; 240; 0; 10000
RadixSort; random; 10000; 314480; 0,000314; 80; 0; 50000
BubbleSort; random; 20000; 407595860; 0,407596; 80; 199990000; 99314987
InsertionSort; random; 20000; 31455690; 0,031456; 80; 99334976; 99334980
SelectionSort; random; 20000; 319802970; 0,319803; 80; 199990000; 19991
MergeSort; random; 20000; 2122890; 0,002123; 160; 260981; 287232
QuickSort; random; 20000; 1223450; 0,001223; 80; 289891; 173853
HeapSort; random; 20000; 1774130; 0,001774; 80; 510850; 268606
CountingSort; random; 20000; 148600; 0,000149; 480; 0; 20000
RadixSort; random; 20000; 642230; 0,000642; 160; 0; 100000
BubbleSort; random; 40000; 1710219320; 1,710219; 160; 799980000; 400683348
InsertionSort; random; 40000; 129149490; 0,129149; 160; 400723334; 400723341
SelectionSort; random; 40000; 1266963760; 1,266964; 160; 799980000; 39986
MergeSort; random; 40000; 4366770; 0,004367; 320; 561795; 614464
QuickSort; random; 40000; 2535850; 0,002536; 160; 607445; 347308
HeapSort; random; 40000; 3834290; 0,003834; 160; 1101320; 576741
CountingSort; random; 40000; 352430; 0,000352; 960; 0; 40000
RadixSort; random; 40000; 1694330; 0,001694; 320; 0; 240000
BubbleSort; random; 80000; 7112826760; 7,112827; 320; 3199960000; 1595868445
InsertionSort; random; 80000; 526676990; 0,526677; 320; 1595948428; 1595948432
SelectionSort; random; 80000; 5144377060; 5,144377; 320; 3199960000; 79986
MergeSort; random; 80000; 10392660; 0,010393; 640; 1203466; 1308928
QuickSort; random; 80000; 5263580; 0,005264; 320; 1338211; 781866
HeapSort; random; 80000; 8282100; 0,008282; 320; 2363200; 1233674
CountingSort; random; 80000; 1068690; 0,001069; 1920; 0; 80000
RadixSort; random; 80000; 3139910; 0,003140; 640; 0; 480000
BubbleSort; random; 100000; 11212235230; 11,212235; 400; 4999950000; 2499707003
InsertionSort; random; 100000; 813660430; 0,813660; 400; 2499806995; 2499806987
SelectionSort; random; 100000; 8157169600; 8,157170; 400; 4999950000; 99986
MergeSort; random; 100000; 12475950; 0,012476; 800; 1536223; 1668928
QuickSort; random; 100000; 6693920; 0,006694; 400; 1759398; 963346
HeapSort; random; 100000; 10716630; 0,010717; 400; 3019846; 1575087
CountingSort; random; 100000; 953600; 0,000954; 2400; 0; 100000
RadixSort; random; 100000; 3897960; 0,003898; 800; 0; 600000
